city_id,date,average_temp_celsius
11,30-03-2019,11.9
11,31-03-2019,11.9
11,01-04-2019,13.3
11,02-04-2019,9.7
11,03-04-2019,5.9
11,04-04-2019,6
11,05-04-2019,8.6
11,06-04-2019,7.3
11,07-04-2019,9.4
11,08-04-2019,8.8
11,09-04-2019,8.6
11,10-04-2019,8.9
11,11-04-2019,10.2
11,12-04-2019,8.3
11,13-04-2019,8
11,14-04-2019,7.9
11,15-04-2019,10.6
11,16-04-2019,11.7
11,17-04-2019,14.1
11,18-04-2019,16.5
11,19-04-2019,17.2
11,20-04-2019,17.2
11,21-04-2019,16
11,22-04-2019,15.4
11,23-04-2019,14.6
11,24-04-2019,11.9
11,25-04-2019,11
11,26-04-2019,11.2
11,27-04-2019,11.2
11,28-04-2019,10.8
11,29-04-2019,11.6
11,30-04-2019,12.6
11,01-05-2019,13.3
11,02-05-2019,11.5
11,03-05-2019,10.9
11,04-05-2019,9.4
11,05-05-2019,8.3
11,06-05-2019,9.6
11,07-05-2019,10.9
11,08-05-2019,12.9
11,09-05-2019,12.5
11,10-05-2019,12
11,11-05-2019,12.8
11,12-05-2019,12
11,13-05-2019,12.6
11,14-05-2019,14.5
11,15-05-2019,14.6
11,16-05-2019,14.1
11,17-05-2019,14.1
11,18-05-2019,13.2
11,19-05-2019,13.5
11,20-05-2019,13.7
11,21-05-2019,14.5
11,22-05-2019,16.3
11,23-05-2019,17.3
11,24-05-2019,15.9
11,25-05-2019,15.3
11,26-05-2019,14.7
11,27-05-2019,15.8
11,28-05-2019,14.1
11,29-05-2019,13.6
11,30-05-2019,16.3
11,31-05-2019,17.2
12,16-03-2019,10.5
12,17-03-2019,10.2
12,18-03-2019,10.3
12,19-03-2019,9.8
12,20-03-2019,9.3
12,21-03-2019,10.2
12,22-03-2019,13.1
12,23-03-2019,13.2
12,24-03-2019,14
12,25-03-2019,12
12,26-03-2019,11.6
12,27-03-2019,10.9
12,28-03-2019,10.9
12,29-03-2019,11.4
12,30-03-2019,11.7
12,31-03-2019,11.4
12,01-04-2019,12.6
12,02-04-2019,12.5
12,03-04-2019,10.2
12,04-04-2019,10.9
12,05-04-2019,9.5
12,06-04-2019,9.8
12,07-04-2019,9.1
12,08-04-2019,9.9
12,09-04-2019,10.5
12,10-04-2019,11.3
12,11-04-2019,10.3
12,12-04-2019,11.4
12,13-04-2019,11.3
12,14-04-2019,10.2
12,15-04-2019,11.4
12,16-04-2019,12
12,17-04-2019,12.1
12,18-04-2019,14.6
12,19-04-2019,14.9
12,20-04-2019,15.2
12,21-04-2019,16.5
12,22-04-2019,16.9
12,23-04-2019,13.2
12,24-04-2019,12.3
12,25-04-2019,12.2
12,26-04-2019,14
12,27-04-2019,13.5
12,28-04-2019,12.9
12,29-04-2019,12.7
12,30-04-2019,12.4
12,01-05-2019,12.7
12,02-05-2019,12.8
12,03-05-2019,13.4
12,04-05-2019,13.1
12,05-05-2019,11
12,06-05-2019,11.6
12,07-05-2019,11.4
12,08-05-2019,12.2
12,09-05-2019,14.6
12,10-05-2019,14.6
12,11-05-2019,15.3
12,12-05-2019,15.6
12,13-05-2019,16.5
12,14-05-2019,14.7
12,15-05-2019,11.9
12,16-05-2019,12.8
12,17-05-2019,13.4
12,18-05-2019,13.9
12,19-05-2019,13
12,20-05-2019,13.3
12,21-05-2019,14.1
12,22-05-2019,15.1
12,23-05-2019,15.2
12,24-05-2019,15.1
12,25-05-2019,15.6
12,26-05-2019,17.4
12,27-05-2019,16.9
12,28-05-2019,15.8
12,29-05-2019,15.9
12,30-05-2019,17.2
12,31-05-2019,16.8
13,16-03-2019,10.7
13,17-03-2019,7.8
13,18-03-2019,6.5
13,19-03-2019,6.2
13,20-03-2019,8.1
13,21-03-2019,9
13,22-03-2019,10
13,23-03-2019,8.9
13,24-03-2019,8
13,25-03-2019,6.7
13,26-03-2019,6.8
13,27-03-2019,8
13,28-03-2019,9
13,29-03-2019,10.4
13,30-03-2019,11.2
13,31-03-2019,11.9
13,01-04-2019,13.2
13,02-04-2019,11.2
13,03-04-2019,6.1
13,04-04-2019,5.6
13,05-04-2019,8.1
13,06-04-2019,9.9
13,07-04-2019,9.3
13,08-04-2019,10.2
13,09-04-2019,10.1
13,10-04-2019,9.3
13,11-04-2019,9.1
13,12-04-2019,7.4
13,13-04-2019,5.7
13,14-04-2019,5
13,15-04-2019,9.2
13,16-04-2019,10.6
13,17-04-2019,12.3
13,18-04-2019,16
13,19-04-2019,16.4
13,20-04-2019,17.8
13,21-04-2019,16.9
13,22-04-2019,16.8
13,23-04-2019,16.1
13,24-04-2019,13.2
13,25-04-2019,11.7
13,26-04-2019,11
13,27-04-2019,10.5
13,28-04-2019,9.2
13,29-04-2019,9.8
13,30-04-2019,12.2
13,01-05-2019,12.9
13,02-05-2019,10.7
13,03-05-2019,10.9
13,04-05-2019,7.1
13,05-05-2019,7.4
13,06-05-2019,8.8
13,07-05-2019,11.4
13,08-05-2019,12.3
13,09-05-2019,12.3
13,10-05-2019,11.7
13,11-05-2019,11.9
13,12-05-2019,10.2
13,13-05-2019,11.5
13,14-05-2019,12.9
13,15-05-2019,12.5
13,16-05-2019,12.3
13,17-05-2019,14.1
13,18-05-2019,13.7
13,19-05-2019,13.6
13,20-05-2019,13.7
13,21-05-2019,14.6
13,22-05-2019,15.6
13,23-05-2019,16.5
13,24-05-2019,16.8
13,25-05-2019,16.4
13,26-05-2019,15.9
13,27-05-2019,16.1
13,28-05-2019,13.6
13,29-05-2019,14
13,30-05-2019,16.3
13,31-05-2019,18.3
14,16-03-2019,11.1
14,17-03-2019,7.6
14,18-03-2019,6.8
14,19-03-2019,6.2
14,20-03-2019,8
14,21-03-2019,8.9
14,22-03-2019,9.2
14,23-03-2019,8.4
14,24-03-2019,8.2
14,25-03-2019,6.8
